Date,Open,High,Low,Close,Adj Close,Volume
5/8/2015,50.299999,50.5,49.799999,49.900002,48.153908,14627838
6/8/2015,49.900002,50,49.400002,49.599998,47.864407,11432552
7/8/2015,49.599998,50.25,49.599998,50.200001,48.443413,12324121
10/8/2015,50.200001,50.200001,49.099998,49.400002,47.671406,17842301
11/8/2015,49.650002,49.849998,48.849998,49.049999,47.513702,20673685
12/8/2015,48.5,48.700001,47.349998,47.599998,46.109116,31005880
13/8/2015,47.599998,48.299999,47.299999,47.849998,46.351288,28819076
14/8/2015,47.950001,48.650002,47.75,47.799999,46.302856,12881222
17/8/2015,47.5,47.900002,46.75,46.849998,45.382607,19582742
18/8/2015,47.299999,47.599998,46,46,44.559231,26852873
19/8/2015,45.799999,45.950001,44.75,45,43.590549,46372739
20/8/2015,44.700001,45.349998,43.75,44.400002,43.009346,41336631
21/8/2015,43.900002,44.650002,43.349998,43.549999,42.185966,40935272
24/8/2015,41.900002,42.150002,40.400002,40.799999,39.522102,63610350
25/8/2015,41.900002,43.650002,41.25,42.849998,41.507889,76282212
26/8/2015,43.450001,43.599998,41.799999,42.049999,40.732948,52245440
27/8/2015,43.5,43.549999,41.599998,42.5,41.168858,75311630
28/8/2015,44,44.150002,42.75,43.049999,41.70163,59946824
31/8/2015,43.299999,43.299999,42.099998,42.849998,41.507889,36356661
1/9/2015,43.299999,43.299999,42.049999,42.150002,40.829819,38968421
2/9/2015,42.150002,42.299999,41,41.5,40.20018,41553122
4/9/2015,41.5,41.950001,41.200001,41.450001,40.151741,35670988
7/9/2015,41.75,42,40.900002,41,39.715836,33521489
8/9/2015,41,42.549999,40.75,41.950001,40.636082,31427579
9/9/2015,43.099998,44.5,42.700001,44.049999,42.670303,59756944
10/9/2015,43.299999,43.400002,42.700001,42.799999,41.459461,26016946
11/9/2015,42.900002,43.650002,42.299999,42.400002,41.071987,31966802
14/9/2015,42.900002,43.599998,42.5,42.900002,41.556328,25035349
